Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,SMA_20,SMA_50,EMA_20,RSI_14,MACD,MACD_Signal,MACD_Histogram,BB_Middle,BB_Upper,BB_Lower,Price_Change,Price_Change_Next
2021-09-14 00:00:00-04:00,1791.4000244140625,1806.199951171875,1783.0,1804.699951171875,764,0.0,0.0,1799.02998046875,1797.1039916992188,1797.9684291187652,49.7146408995875,2.243053567023935,2.990673361560967,-0.747619794537032,1799.02998046875,1826.6646087883616,1771.3953521491383,0.007087026323590928,-0.006815496808666444
2021-09-15 00:00:00-04:00,1803.699951171875,1803.699951171875,1792.4000244140625,1792.4000244140625,59,0.0,0.0,1799.3999816894532,1797.0819921875,1797.4381048611745,51.37616880556051,1.5192052278273422,2.696379734814242,-1.1771745069869,1799.3999816894532,1826.4353316029578,1772.3646317759485,-0.006815496808666444,-0.021089069578919428
2021-09-16 00:00:00-04:00,1792.9000244140625,1792.9000244140625,1743.9000244140625,1754.5999755859375,1645,0.0,0.0,1798.049981689453,1796.1439916992188,1793.3582830254377,39.91418417004422,-2.080613807437203,1.7409810263639534,-3.8215948338011563,1798.049981689453,1830.899153810982,1765.2008095679241,-0.021089069578919428,-0.0029636106487113123
2021-09-17 00:00:00-04:00,1758.800048828125,1763.0,1749.4000244140625,1749.4000244140625,581,0.0,0.0,1796.5099853515626,1795.1399926757813,1789.1717822053067,29.904344296285913,-5.292085067495691,0.33436780759202456,-5.626452875087716,1796.5099853515626,1835.2434510860876,1757.7765196170376,-0.0029636106487113123,0.0070881583634456735
2021-09-20 00:00:00-04:00,1751.800048828125,1761.800048828125,1750.9000244140625,1761.800048828125,185,0.0,0.0,1795.5499877929688,1794.1759936523438,1786.564950455099,36.27910343740996,-6.758710630607766,-1.0842478800479336,-5.674462750559832,1795.5499877929688,1836.7737025792076,1754.32627300673,0.0070881583634456735,0.00805991076076995
2021-09-21 00:00:00-04:00,1762.199951171875,1776.0,1759.0,1776.0,106,0.0,0.0,1794.189990234375,1793.5859936523439,1785.5587646974707,39.178702072889855,-6.6979942617213055,-2.206997156382608,-4.490997105338698,1794.189990234375,1836.1393653743435,1752.2406150944066,0.00805991076076995,0.000394116650830556
2021-09-22 00:00:00-04:00,1776.699951171875,1784.300048828125,1767.0,1776.699951171875,17,0.0,0.0,1792.7449890136718,1792.9319921875,1784.7150681712235,39.83240234893127,-6.518257477381894,-3.0692492205824653,-3.449008256799429,1792.7449890136718,1835.0291554782973,1750.4608225490463,0.000394116650830556,-0.01632239590082285
2021-09-23 00:00:00-04:00,1766.800048828125,1766.800048828125,1738.199951171875,1747.699951171875,31,0.0,0.0,1790.719989013672,1791.399990234375,1781.1898189331903,35.01965355070952,-8.616546236348313,-4.178708623735635,-4.437837612612678,1790.719989013672,1837.5548647948322,1743.8851132325117,-0.01632239590082285,0.0011443611923540598
2021-09-24 00:00:00-04:00,1749.699951171875,1749.699951171875,1745.0,1749.699951171875,76,0.0,0.0,1788.594989013672,1789.8259887695312,1778.190783908303,27.862578398882334,-10.002766247089767,-5.343520148406462,-4.659246098683305,1788.594989013672,1838.8769147532396,1738.3130632741043,0.0011443611923540598,0.00017148587557769268
2021-09-27 00:00:00-04:00,1751.699951171875,1754.4000244140625,1747.5,1750.0,808,0.0,0.0,1785.264990234375,1788.5359887695313,1775.5059473456074,34.56624014592607,-10.950908898879106,-6.464997898500991,-4.485911000378115,1785.264990234375,1836.5491487262166,1733.9808317425336,0.00017148587557769268,-0.00811425781249997
